id_sewa,nama_barang,jenis,tanggal_sewa,durasi_sewa,hari,bulan,stok_saat_itu,total_biaya
MIP-00139,Epson 10000 Lumens,Proyektor,2025-08-15,2,Friday,8,5,3494903
MIP-00140,Screen 2x3,Screen,2024-09-18,8,Wednesday,9,8,3049837
MIP-00141,TV LG 43 Inch,TV,2025-11-23,10,Sunday,11,6,2204375
MIP-00142,Screen 2x3,Screen,2025-06-18,10,Wednesday,6,11,3460313
MIP-00143,TV Samsung 50 Inch,TV,2025-06-07,7,Saturday,6,11,3175010
MIP-00144,Screen 2x3,Screen,2024-11-21,3,Thursday,11,10,1132223
MIP-00145,TV Samsung 75 Inch,TV,2024-10-04,4,Friday,10,4,5412756
MIP-00146,Screen 3x4,Screen,2025-12-05,6,Friday,12,2,3749706
MIP-00147,Epson 10000 Lumens,Proyektor,2025-01-15,7,Wednesday,1,1,10653676
MIP-00148,TV Panasonic 43 Inch,TV,2025-04-26,2,Saturday,4,1,574568
MIP-00149,TV Sony 65 Inch,TV,2024-03-24,6,Sunday,3,3,4269122
MIP-00150,Epson 6000 Lumens,Proyektor,2024-03-24,6,Sunday,3,5,5497943
MIP-00151,Screen 3x4,Screen,2024-06-11,1,Tuesday,6,2,630025
MIP-00152,TV Samsung 50 Inch,TV,2025-08-13,2,Wednesday,8,3,970476
MIP-00153,Epson 10000 Lumens,Proyektor,2024-06-01,7,Saturday,6,4,12097557
MIP-00154,TV Samsung 75 Inch,TV,2025-05-15,5,Thursday,5,8,7703093
MIP-00155,TV Sony 65 Inch,TV,2024-06-14,9,Friday,6,1,8697864
MIP-00156,Screen 3x4,Screen,2025-11-02,6,Sunday,11,4,3416974
MIP-00157,Screen 2x3,Screen,2025-08-11,4,Monday,8,7,1340276
MIP-00158,TV Panasonic 43 Inch,TV,2024-04-15,7,Monday,4,8,1839452
MIP-00159,TV Samsung 75 Inch,TV,2025-07-06,2,Sunday,7,8,3391681
MIP-00160,Epson 10000 Lumens,Proyektor,2024-03-24,4,Sunday,3,2,7204699
MIP-00161,Epson 6000 Lumens,Proyektor,2024-01-12,7,Friday,1,9,6218275
MIP-00162,Epson 6000 Lumens,Proyektor,2024-11-04,7,Monday,11,12,5135436
MIP-00163,Screen 3x4,Screen,2025-10-04,10,Saturday,10,6,5340381
MIP-00164,Epson 6000 Lumens,Proyektor,2024-01-24,4,Wednesday,1,12,3531340
MIP-00165,TV Samsung 75 Inch,TV,2024-09-06,5,Friday,9,4,7264909
MIP-00166,TV Panasonic 43 Inch,TV,2024-09-02,3,Monday,9,8,777667
MIP-00167,Screen 2x3,Screen,2024-10-24,2,Thursday,10,5,633005
MIP-00168,Epson 6000 Lumens,Proyektor,2025-05-18,7,Sunday,5,2,5698731
MIP-00169,Epson 6000 Lumens,Proyektor,2024-08-16,5,Friday,8,8,4027117
MIP-00170,TV Panasonic 43 Inch,TV,2025-08-14,10,Thursday,8,12,2461583
MIP-00171,TV LG 43 Inch,TV,2025-07-29,6,Tuesday,7,9,1350428
MIP-00172,TV Samsung 50 Inch,TV,2025-07-09,8,Wednesday,7,6,3692182
MIP-00173,Epson 10000 Lumens,Proyektor,2024-10-08,1,Tuesday,10,5,1551607
MIP-00174,Screen 3x4,Screen,2025-05-04,4,Sunday,5,8,2521175
MIP-00175,Screen 2x3,Screen,2025-05-09,2,Friday,5,6,666957
MIP-00176,TV Panasonic 43 Inch,TV,2025-01-09,8,Thursday,1,1,2281947
MIP-00177,TV Sony 65 Inch,TV,2024-07-11,7,Thursday,7,3,6404100
MIP-00178,TV Samsung 75 Inch,TV,2024-12-10,4,Tuesday,12,3,6917724
MIP-00179,Screen 2x3,Screen,2025-12-04,6,Thursday,12,1,2195410
MIP-00180,TV LG 43 Inch,TV,2024-11-19,2,Tuesday,11,4,485621
MIP-00181,TV Samsung 75 Inch,TV,2024-12-30,1,Monday,12,6,1479094
MIP-00182,Epson 10000 Lumens,Proyektor,2025-08-27,9,Wednesday,8,1,16205893
MIP-00183,TV Panasonic 43 Inch,TV,2024-01-03,5,Wednesday,1,2,1386250
MIP-00184,TV Samsung 50 Inch,TV,2024-10-30,5,Wednesday,10,4,2078597
MIP-00185,Epson 10000 Lumens,Proyektor,2024-01-21,7,Sunday,1,5,11995918
MIP-00186,Screen 2x3,Screen,2024-11-29,4,Friday,11,20,1297846
MIP-00187,Screen 2x3,Screen,2025-10-05,10,Sunday,10,11,3102980
MIP-00188,Screen 2x3,Screen,2024-11-07,1,Thursday,11,10,357067
MIP-00189,TV Samsung 50 Inch,TV,2025-07-12,7,Saturday,7,5,3280396
MIP-00190,TV Samsung 75 Inch,TV,2025-01-12,9,Sunday,1,8,14876438
MIP-00191,TV Sony 65 Inch,TV,2025-06-14,4,Saturday,6,2,3446788
MIP-00192,Screen 2x3,Screen,2025-08-03,1,Sunday,8,2,374871
MIP-00193,Screen 2x3,Screen,2025-03-30,10,Sunday,3,13,3244728
MIP-00194,TV Sony 65 Inch,TV,2025-07-07,6,Monday,7,1,4721938
MIP-00195,Epson 10000 Lumens,Proyektor,2025-07-07,7,Monday,7,4,13251888
MIP-00196,TV LG 43 Inch,TV,2024-03-10,9,Sunday,3,1,2329080
MIP-00197,Screen 3x4,Screen,2024-08-17,8,Saturday,8,6,4599158
MIP-00198,Epson 10000 Lumens,Proyektor,2024-12-19,7,Thursday,12,4,13347130
MIP-00199,Screen 2x3,Screen,2025-10-31,9,Friday,10,12,3454107
MIP-00200,TV Samsung 75 Inch,TV,2024-10-05,3,Saturday,10,5,4030761
MIP-00201,TV Samsung 50 Inch,TV,2025-02-09,2,Sunday,2,1,977733
MIP-00202,TV Samsung 50 Inch,TV,2025-04-25,7,Friday,4,2,2926141
MIP-00203,Screen 3x4,Screen,2024-06-28,7,Friday,6,2,4745957
MIP-00204,TV Panasonic 43 Inch,TV,2024-04-10,4,Wednesday,4,15,912553
MIP-00205,Epson 10000 Lumens,Proyektor,2025-10-31,6,Friday,10,4,9370025
MIP-00206,TV Sony 65 Inch,TV,2025-04-10,4,Thursday,4,2,3270119
MIP-00207,Screen 2x3,Screen,2024-04-19,6,Friday,4,20,2307479
MIP-00208,Epson 6000 Lumens,Proyektor,2025-01-26,5,Sunday,1,9,3645410
MIP-00209,Epson 6000 Lumens,Proyektor,2025-06-15,2,Sunday,6,15,1756653
MIP-00210,Screen 3x4,Screen,2024-10-13,3,Sunday,10,2,1681898
MIP-00211,TV Sony 65 Inch,TV,2025-04-07,9,Monday,4,1,7049528
MIP-00212,Screen 2x3,Screen,2025-09-06,8,Saturday,9,7,3063735
MIP-00213,TV Panasonic 43 Inch,TV,2024-03-03,5,Sunday,3,14,1394976
MIP-00214,Epson 6000 Lumens,Proyektor,2025-05-24,7,Saturday,5,11,5800334
MIP-00215,TV Panasonic 43 Inch,TV,2025-02-26,5,Wednesday,2,5,1143200
MIP-00216,TV Samsung 50 Inch,TV,2024-06-12,1,Wednesday,6,12,442314
MIP-00217,TV Panasonic 43 Inch,TV,2025-09-15,2,Monday,9,9,496402
MIP-00218,Epson 10000 Lumens,Proyektor,2024-04-14,1,Sunday,4,1,1833313
MIP-00219,Screen 2x3,Screen,2024-08-19,5,Monday,8,2,1920694
MIP-00220,TV Samsung 75 Inch,TV,2024-06-21,3,Friday,6,4,4417686
MIP-00221,TV LG 43 Inch,TV,2025-09-12,3,Friday,9,8,653532
MIP-00222,Epson 10000 Lumens,Proyektor,2025-10-12,4,Sunday,10,3,7576772
MIP-00223,TV Panasonic 43 Inch,TV,2025-06-03,10,Tuesday,6,12,2390708
MIP-00224,TV Sony 65 Inch,TV,2025-07-14,4,Monday,7,1,3310412
MIP-00225,TV Samsung 50 Inch,TV,2025-10-13,8,Monday,10,5,3183073
MIP-00226,TV Samsung 75 Inch,TV,2025-05-02,10,Friday,5,6,15508228
MIP-00227,TV Panasonic 43 Inch,TV,2024-04-22,8,Monday,4,10,2295449
MIP-00228,Screen 2x3,Screen,2025-01-31,5,Friday,1,14,2001158
MIP-00229,TV Panasonic 43 Inch,TV,2024-08-22,9,Thursday,8,13,2545236
MIP-00230,Screen 2x3,Screen,2025-04-07,3,Monday,4,12,939962
MIP-00231,TV LG 43 Inch,TV,2025-09-21,3,Sunday,9,7,671603
MIP-00232,TV Samsung 50 Inch,TV,2024-09-17,3,Tuesday,9,8,1549183
MIP-00233,TV Samsung 75 Inch,TV,2024-10-28,7,Monday,10,2,10862181
MIP-00234,Screen 2x3,Screen,2025-08-24,10,Sunday,8,17,3012076
MIP-00235,Epson 6000 Lumens,Proyektor,2024-03-10,8,Sunday,3,10,6804182
MIP-00236,TV Samsung 50 Inch,TV,2024-06-02,5,Sunday,6,6,2585053
MIP-00237,Screen 2x3,Screen,2024-01-20,1,Saturday,1,4,359261
MIP-00238,TV Panasonic 43 Inch,TV,2024-06-10,2,Monday,6,12,565321
MIP-00239,TV Samsung 75 Inch,TV,2025-06-25,10,Wednesday,6,7,17434564
MIP-00240,Screen 2x3,Screen,2024-07-01,1,Monday,7,20,306803
MIP-00241,TV Samsung 75 Inch,TV,2024-06-09,1,Sunday,6,4,1711898
MIP-00242,Epson 6000 Lumens,Proyektor,2025-02-03,5,Monday,2,13,3847707
MIP-00243,Screen 3x4,Screen,2025-12-10,1,Wednesday,12,3,675886
MIP-00244,Epson 10000 Lumens,Proyektor,2024-02-18,5,Sunday,2,5,8640240
MIP-00245,Epson 6000 Lumens,Proyektor,2024-11-08,4,Friday,11,6,3670823
MIP-00246,TV Samsung 75 Inch,TV,2025-09-09,6,Tuesday,9,3,8356605
MIP-00247,TV Samsung 50 Inch,TV,2025-07-09,9,Wednesday,7,8,4034899
MIP-00248,Screen 2x3,Screen,2025-06-02,6,Monday,6,18,2561895
MIP-00249,Epson 10000 Lumens,Proyektor,2024-06-13,10,Thursday,6,5,21767641
MIP-00250,Epson 6000 Lumens,Proyektor,2025-01-18,9,Saturday,1,1,6922520
MIP-00251,Screen 3x4,Screen,2024-10-15,1,Tuesday,10,2,629285
MIP-00252,TV Samsung 75 Inch,TV,2024-07-16,2,Tuesday,7,5,2986226
MIP-00253,Screen 3x4,Screen,2025-03-10,7,Monday,3,8,3902473
MIP-00254,TV Samsung 75 Inch,TV,2025-07-14,7,Monday,7,2,11672227
MIP-00255,TV Panasonic 43 Inch,TV,2025-08-26,9,Tuesday,8,12,2290623
MIP-00256,TV Samsung 75 Inch,TV,2024-08-14,6,Wednesday,8,7,8654218
MIP-00257,Screen 3x4,Screen,2025-05-18,10,Sunday,5,9,4830159
MIP-00258,Screen 2x3,Screen,2025-01-20,7,Monday,1,13,2533402
MIP-00259,Screen 3x4,Screen,2025-06-03,5,Tuesday,6,5,3216924
MIP-00260,TV Samsung 75 Inch,TV,2024-01-16,1,Tuesday,1,7,1462992
MIP-00261,TV Panasonic 43 Inch,TV,2025-07-24,7,Thursday,7,5,1555658
MIP-00262,TV Samsung 75 Inch,TV,2025-01-16,5,Thursday,1,4,8565279
MIP-00263,Screen 3x4,Screen,2025-03-25,9,Tuesday,3,2,4738830
MIP-00264,Epson 6000 Lumens,Proyektor,2024-08-05,1,Monday,8,4,783667
MIP-00265,TV Samsung 75 Inch,TV,2024-06-24,6,Monday,6,4,10542786
MIP-00266,Epson 6000 Lumens,Proyektor,2024-09-04,7,Wednesday,9,4,5355830
MIP-00267,TV Samsung 75 Inch,TV,2024-05-22,5,Wednesday,5,5,6449676
MIP-00268,TV LG 43 Inch,TV,2025-01-27,3,Monday,1,2,650796
MIP-00269,TV LG 43 Inch,TV,2024-12-19,8,Thursday,12,4,2127701
MIP-00270,TV Panasonic 43 Inch,TV,2025-05-21,4,Wednesday,5,8,855400
MIP-00271,TV Sony 65 Inch,TV,2025-03-01,3,Saturday,3,4,2619532
MIP-00272,TV LG 43 Inch,TV,2025-05-22,3,Thursday,5,8,833869
MIP-00273,TV Samsung 50 Inch,TV,2025-11-03,8,Monday,11,11,3366534
MIP-00274,Epson 10000 Lumens,Proyektor,2025-05-28,9,Wednesday,5,1,14948677
MIP-00275,Screen 2x3,Screen,2024-02-04,2,Sunday,2,5,715403
MIP-00276,TV LG 43 Inch,TV,2025-03-20,9,Thursday,3,1,2364210
MIP-00277,TV Samsung 50 Inch,TV,2025-06-10,9,Tuesday,6,4,4261591
MIP-00278,TV LG 43 Inch,TV,2024-05-11,7,Saturday,5,4,1756490
MIP-00279,Epson 10000 Lumens,Proyektor,2024-12-26,1,Thursday,12,1,1803703
MIP-00280,Epson 6000 Lumens,Proyektor,2024-12-27,1,Friday,12,13,922368
MIP-00281,TV LG 43 Inch,TV,2025-12-01,6,Monday,12,1,1809361
MIP-00282,Screen 2x3,Screen,2025-12-04,10,Thursday,12,9,3633163
MIP-00283,TV LG 43 Inch,TV,2025-07-24,7,Thursday,7,7,1789259
MIP-00284,TV Sony 65 Inch,TV,2025-08-06,8,Wednesday,8,5,6728210
MIP-00285,Epson 6000 Lumens,Proyektor,2024-06-22,7,Saturday,6,15,6933366
MIP-00286,Epson 6000 Lumens,Proyektor,2025-11-03,4,Monday,11,3,3266434
MIP-00287,TV Samsung 75 Inch,TV,2024-02-10,7,Saturday,2,5,10224927
MIP-00288,TV Sony 65 Inch,TV,2024-07-28,3,Sunday,7,1,2697566
MIP-00289,TV Samsung 75 Inch,TV,2025-11-08,3,Saturday,11,8,4545856
MIP-00290,Epson 10000 Lumens,Proyektor,2024-11-06,10,Wednesday,11,1,19653206
MIP-00291,TV Samsung 50 Inch,TV,2025-10-19,4,Sunday,10,7,1893401
MIP-00292,TV Panasonic 43 Inch,TV,2025-03-26,3,Wednesday,3,15,830451
MIP-00293,TV Sony 65 Inch,TV,2025-09-03,1,Wednesday,9,2,806195
MIP-00294,TV LG 43 Inch,TV,2025-07-12,4,Saturday,7,10,951930
MIP-00295,Epson 6000 Lumens,Proyektor,2025-07-29,5,Tuesday,7,4,4289633
MIP-00296,TV Samsung 50 Inch,TV,2025-01-10,8,Friday,1,11,3605891
MIP-00297,TV Panasonic 43 Inch,TV,2025-07-16,2,Wednesday,7,13,471980
MIP-00298,TV Samsung 50 Inch,TV,2024-05-03,5,Friday,5,6,2232454
MIP-00299,Epson 6000 Lumens,Proyektor,2025-03-06,4,Thursday,3,6,2921556
MIP-00300,TV Samsung 50 Inch,TV,2025-01-13,7,Monday,1,10,3093717
MIP-00301,Screen 2x3,Screen,2025-01-17,5,Friday,1,7,1994869
MIP-00302,TV LG 43 Inch,TV,2024-05-18,4,Saturday,5,1,970533
MIP-00303,Epson 10000 Lumens,Proyektor,2024-06-13,7,Thursday,6,4,13089631
MIP-00304,TV LG 43 Inch,TV,2024-09-23,6,Monday,9,6,1515023
MIP-00305,Screen 3x4,Screen,2025-06-07,6,Saturday,6,3,3282308
MIP-00306,TV Samsung 75 Inch,TV,2024-08-03,7,Saturday,8,3,10142602
MIP-00307,TV Samsung 75 Inch,TV,2024-03-22,3,Friday,3,7,4637857
MIP-00308,TV LG 43 Inch,TV,2024-12-02,1,Monday,12,8,259882
MIP-00309,TV LG 43 Inch,TV,2025-05-08,7,Thursday,5,6,1497535
MIP-00310,Screen 3x4,Screen,2024-07-22,2,Monday,7,3,1045024
MIP-00311,Screen 3x4,Screen,2024-04-22,8,Monday,4,7,4128897
MIP-00312,TV LG 43 Inch,TV,2024-05-20,8,Monday,5,9,2262254
MIP-00313,TV Samsung 75 Inch,TV,2025-01-18,4,Saturday,1,6,5832791
MIP-00314,Screen 3x4,Screen,2024-10-16,3,Wednesday,10,2,1661175
MIP-00315,Epson 10000 Lumens,Proyektor,2024-11-17,2,Sunday,11,4,3720615
